Question,Answer
What Is Autism Spectrum Disorder?,Autism spectrum disorder (ASD) is a neurodevelopmental disorder which means that it impacts how a child develops. Autism begins in utero although children with ASD might not be diagnosed until they are preschool- or even school-aged (or older) when signs of the disorder become more apparent. Children with ASD have a combination of two kinds of behaviors: deficits in communication and social skills and the presence of restricted or repetitive behaviors. It’s called a spectrum because individuals with the disorder may have a wide range of symptoms cognitive abilities language skills and behaviors. Criteria for autism spectrum disorder Signs of a deficit in communication and social skills may include but are not limited to a combination of the following: In younger kids (under 3 years) In older children Children with restricted or repetitive behaviors perform repetitive actions and rituals and can become fixated on minute details to the point of distraction. In addition they may: To meet the criteria for ASD a child’s symptoms in these two areas must be present in early childhood though they may not become fully clear until later when social demands exceed limited capacities. Alternatively they may be clear early on and then masked later by learned strategies. These symptoms must also cause clinically significant impairment in social occupational academic or other important areas of functioning. In addition to the two required criteria to meet thediagnosisdiagnosis     A specific set of signs and symptoms that together define a disorder. For psychiatric disorders the criteria are based on standards established in the Diagnostic and Statistical Manual (DSM).  children withautism spectrum disorderautism spectrum disorder     A spectrum of developmental deficits that begin in early childhood and may include impaired reciprocal social behavior communication and language as well as restricted and repetitive thoughts and behaviors. Many individuals also have cognitive impairments. These conditions have been thought of as a set of disorders but are now being considered one disorder that presents along a spectrum. often have sensory issues and varying cognitive and verbal abilities. Sensory problems: Many children with autism are unusually sensitive to sounds lights textures or smells. They may be overwhelmed by too much sensory input avoiding fleeing or melting down over things like bright lights loud noises or commotion. Alternatively they may seek more sensory input which they may try to get by bumping into things and excessively touching and smelling things. Verbal ability: Some children with autism don’t talk at all. Others talk in a stilted tone or in an exaggerated “sing-song” or high-pitched voice. Highly verbal children with autism may monopolize conversations while showing little capacity for reciprocity or understanding what the other person wants or feels. Autistic children may also repeat certain phrases without appearing to understand their significance or possess what experts call “non-functional knowledge”— information they can recite but not use to solve problems or carry on a conversation. Children on the spectrum can also have medical problems and other mental health disorders including anxietyADHDADHDsee attention-deficit hyperactivity disorderand depression with symptoms that can be confused with autism.
Terminology: “Autistic” “With Autism” and “Asperger’s”,People use different language when talking about autism. Some prefer to say “a child with autism” because it emphasizes the child’s identity outside of their diagnosis. This is commonly called “person-first” language and is often recommended as a respectful way to talk about disabilities and other health issues. However other people including many autism activists prefer to use the term “autistic.” This is known as “identity-first” language. Autistic self-advocates assert that being autistic is in fact part of who they are — just like other labels like Catholic African-American gifted and so on. They argue that saying “with autism” implies that autism is a negative thing that has happened to a person rather than an integral part of their identity. In this guide we use both “autistic” and “with autism” to acknowledge the diversity of people’s opinions. Some people also refer to their child having “Asperger’s disorder.” That diagnosis is technically outdated because in 2013 the Diagnostic and Statistical Manual of Mental Disorders (DSM-5) combined Asperger’s disorder into autism spectrum disorder. However many people do continue to use the term Asperger’s to describe autistic children who are typically without language or intellectual impairment.
How Is Autism Diagnosed?,The diversity of autism spectrum disorder can make it difficult to correctly diagnose. Sometimes children with ASD are mistakenly diagnosed with a different disorder like attention-deficit hyperactivity disorder (ADHD) oroppositionaloppositional     Disobedient and often hostile behavior directed towards authority figures. defiant disorder (ODD) or they are told that nothing is wrong. Other times kids are diagnosed with autism when they actually aren’t on the spectrum. First Steps: There are a variety of screeners that pediatricians or other practitioners might employ as a first step to learning if a child might have autism before beginning a formal evaluation. Some are questionnaires that parents fill out and others are assessments done by clinicians. If a screener indicates that a child may have autism spectrum disorder the child should receive a comprehensive evaluation with someone trained in diagnosing autism. This evaluation should include assessment of a child’s behaviors in different settings and within the context of their overall development and it should incorporate both clinician observation and parent/caregiver interviews. Evaluations will often include autism-symptom specific measures such as: Evaluations should also include information about other areas of a child’s functioning across contexts. Assessing a child’s cognitive motor language and adaptive functioning can provide information on the most appropriate treatments and the impact their symptoms are having on their overall functioning. This includes using measures like: Even with these tools it is important to be working with a mental health professional who has experience diagnosing people on the autism spectrum. Read more about diagnosis here.
Why Autism Diagnoses Are Often Delayed,For children on the autism spectrum the earlier they receive specialized support the better outcome they are likely to have. Such early intervention can start in toddlerhood. But children sometimes miss out on that crucial intervention for a variety of reasons. In many cases kids initially receive a diagnosis of speech-language impairments ADHD or sensory issues and it’s not until the social and academic challenges of school increase— around the age of 5 or 6 — that the child receives an autism diagnosis. It’s not that these other diagnoses are necessarily wrong. It is estimated that 30 to 40 percent of children on the autism spectrum do also have ADHD and sensory challenges are so common in kids with autism they are considered a symptom of the disorder. But all too often once a diagnosis is reached parents and clinicians stop looking carefully at symptoms that would also indicate an autism diagnosis which would change the treatment significantly. While these children are getting treatment for ADHD or sensory issues they’re missing out on therapy that can have a much more important impact on their lives. Read more about delayed diagnosis here. Why girls with autism are often overlooked Boys are diagnosed with autism at more than four times the rate of girls. The disorder is more common in boys but because girls often don’t fit the stereotyped image of someone with autism many girls go undiagnosed and suffer as a result. Some reasons for the missed diagnosis include: Read more about how girls are undiagnosed here.
How to Talk to Family and Friends About Your Child’s Diagnosis,If your child has been newly diagnosed with autism one thing that can be a challenge is telling your parents and extended family. Autism is something that more and more people are aware of but there’s still a lot of misinformation. The problems your child is having may not be visible to everyone in your family. But you need the people you are close to as allies in helping your child so getting them on your team is important. Focus on behaviors Using behaviors others might have noticed — such as lack of eye contact frequent meltdowns or inability to connect with other kids — is one way to start explaining what autism is and why your child was diagnosed. Explain autism basics Don’t overwhelm them with information but make sure to tell them that: Read more about talking with family and friends here.
Medical Causes for Autism-Related Behaviors,It’s not unusual for medical problems to be overlooked in kids with autism especially those who are nonverbal. When evaluating your child’s behaviors it’s crucial to consider that some may actually be reactions to pain or discomfort from treatable medical or dental conditions that may have gone unrecognized. Kids with ASD may not be able identify or articulate the source of the pain or discomfort they are experiencing effectively. Here are some commonly misinterpreted behaviors that may have medical causes: If you notice any of these behaviors in your child visiting your physician is a good idea to identify or rule out different medical problems including: Read more about possible medical causes here.
Sensory Issues,Sensory issues are often first recognized during the toddler years when parents notice that a child has an unusual aversion to noise light shoes that are deemed too tight and clothes that are irritating. They may also notice clumsiness and trouble climbing stairs and difficulty with fine motor skills like wielding a pencil and fastening buttons. More baffling — and alarming — to parents are children who exhibit extreme behaviors such as: These and other atypical behaviors may reflect sensory issues — difficulty integrating information from the senses. Children with sensory issues may be overwhelmed by too much sensory input (i.e. hyper-sensitivity) or receive too little (i.e. hypo-sensitivity) which causes them to bump into and rub against things in order to feel more. Sensory problems are now considered a symptom of autism because the majority of children and adults on the spectrum also have sensory issues. When the brain struggles to deal with sensory input like sound light and smell kids can become overwhelmed and may have a tendency to flee to a more calming environment become aggressive or experience a severe meltdown. In the majority of cases sensory issues become significantly milder and less interfering as kids get older. Skills learned in occupational therapy and environmental accommodations can help limit the impact of sensory issues as kids get older. Read more about sensory issues here.
Rigid Eating Habits in Children on the Spectrum,Children on the autism spectrum are often very picky eaters. When mealtime issues arise your first stop should be a pediatric gastroenterologist who has experience with kids on the spectrum to make sure there are no medical issues. Other sources of mealtime problems include:  Sensory issues: Autistic kids often express a strong preference for foods that feel a certain way in their mouths. Some prefer soft or creamy foods like yogurt soup or ice cream; others need the stimulation that crunchy foods like Cheetos or — if a parent is lucky carrots — provide. In either case that can put significant limitations on the different foods kids are willing to eat. Underdeveloped oral motor musculature: Kids who eat almost exclusively soft foods may actually lack the muscle development that it takes to chew foods like steak or hamburger. Parents who don’t know this is the cause of their child’s distress will respond by allowing them to forgo the foods that would strengthen those muscles so it becomes a vicious cycle. Time and behavior at the table: Lots of parents experience the frustration of trying to get their children to sit at the table long enough to finish a meal. But with autistic kids the challenge can be magnified. And there is also the issue of safety. Unsafe behaviors might include throwing utensils or repeatedly getting up and running from the table. For children and families who are struggling with an autistic child’s rigid eating habits consulting a feeding specialist —this could be a child psychologist speech-language pathologist or occupational therapist — can be helpful. Read more about autism and picky eating here.
Wandering in Children on the Spectrum,The tendency of children on the spectrum to wander off impulsively is a huge safety issue. Wandering off without warning — also known as elopement or bolting — can have tragic results as children attracted to water have drowned. The behavior is in part attributed to an impaired sense of danger which might inhibit a neurotypical child from leaving caregivers. Other explanations for bolting range from goal-directed (heading to a favorite place pursuing something of interest) to escaping astressorstressor     A stimulus or event that leads to a stress reaction. (an anxious situation or uncomfortable sensory stimuli). In a survey more than 800 parents reported that roughly 50 percent of children between the ages of 4 and 10 with an ASD wander at some point four times more than their unaffected siblings. The behavior peaks at 4 but almost 30 percent of kids with an ASD between the ages of 7 and 10 are still eloping eight times more than their unaffected brothers and sisters. The Autism Wandering Awareness Alerts Response and Education (AWAARE) Collaboration site has advice for families about making the home safe and other measures to guard against wandering. Read more about autism and wandering here.
Repetitive Motions,Repetitive movements associated with autism are sometimes called stimming. The word stim is short for self-stimulation. It means repetitive movements that don’t appear to be purposeful including hand flapping rocking blinking pacing and repeating noises or words. Among the criteria for an ASD diagnosis is “stereotyped or repetitive motor movements use of objects or speech.” Some children engage in these repetitive movements to either block or increase sensory input or as a means of alleviating distress. Children on the spectrum may stim both when they’re excited and when they’re frustrated or angry. But these movements are only problematic if they interfere with a child’s functioning including social interaction daily activities and learning. Families worried about them are encouraged not to try to eradicate or draw undue attention to them but instead to help children build communication skills and activities that may reduce time spent stimming. Read more about autism and repetitive motions here.
