Keyword,Answer
Practice Essentials,"Practice EssentialsAutism spectrum disorder (ASD) manifests in early childhood and is characterized by qualitative abnormalities in socialinteractions, markedly aberrant communication skills, and restricted repetitive behaviors, interests, and activities (RRBs).[1]ASD is the broad current designation for a group of conditions with deficits in social interaction and communication andRRBs. ASD includes a variety of disorders that fit two broad classes: (1) genetic disorders with features of ASD includingfragile X syndrome, Rett syndrome, and tuberous sclerosis, and (2) idiopathic with unknown causes. Idiopathic forms of ASDhave been called a variety of terms over the years, including autistic disorder, pervasive developmental disorder, andAsperger syndrome. Further information about the subtypes can be located in the articles for each condition. Readers canbenefit from recognizing that the terms ""autism"" and ""autistic disorder"" have been used to describe ASD. ""Pervasivedevelopmental disorder"" had been used to describe disorders including ASD and conditions with some traits characteristic ofautism. Asperger syndrome refers to high-functioning individuals with ASD; these are people who have normal or superiorintellectual abilities. People with Asperger syndrome may lack the communication abnormalities characteristic of ASD.Indviduals with the genetic disorders associated with ASD may or may not manifest the symptoms and signs of ASD. Thedevelopment of techniques to help people with ASD attain favorable educational and occupational outcomes in communitysettings provide opportunities for the successful lives of people with ASD and their families.[2]"
Signs and symptoms,"Signs and symptomsBehavioral and developmental features that suggest autism include the following:Developmental regressionAbsence of protodeclarative pointing, i.e., failure to look where the examiner is looking and pointingAbnormal reactions to environmental stimuliAbnormal social interactionsAbsence of smiling when greeted by parents and other familiar peopleAbsence of typical responses to pain and physical injuryLanguage delays and deviationsAbsence of symbolic playRepetitive and stereotyped behaviorRegular screening of infants and toddlers for symptoms and signs of ASD is crucial because it allows for early referral ofpatients for further evaluation and treatment.[1] Siblings of children with ASD are at risk for developing traits of ASD andeven a full-blown diagnosis of ASD. Therefore, siblings should also undergo screening not only for autism-related symptomsbut also for language delays, learning difficulties, social problems, and anxiety or depressive symptoms.[3]Having parents fill out the Autism Screening Checklist can identify children who merit further assessment for possible ASD.See the image below for a printable version of the checklist. emedicine.medscape.com/article/912781-print The significance of answers to individual Autism Screening Checklist items is as follows: Item 1- A ""yes"" occurs in healthychildren and children with some pervasive developmental disorders; a ""no"" occurs in children with autism, Rett syndrome,and other developmental disorders. Item 2 - A ""yes"" occurs in healthy children, not children with autism. Item 3 - A ""yes""occurs in healthy children and children with Asperger syndrome (ie, high-functioning autism); a ""no"" occurs in children withRett syndrome; children with autism may elicit a ""yes"" or a ""no""; some children with autism never speak; some childrenwith autism may develop speech normally and then experience a regression with the loss of speech. Item 4 - A ""yes""occurs in healthy children and children with Asperger syndrome and some other pervasive developmental disorders; a""no"" occurs in children with developmental disorders; children with autism may elicit a ""yes"" or a ""no."" Items 5-10 - Scoresof ""yes"" occur in some children with autism and in children with other disorders. Item 1 1 – A ""yes"" occurs in healthychildren; a ""no"" occurs in some children with autism and in children with other disorders. Items 12, 13 - Scores of ""yes""occur in some children with autism and in children with other disorders. Items 14-19 - Scores of ""yes"" occur in childrenwith schizophrenia and other disorders, not in children with autism, Asperger syndrome, or other autism spectrumdisorders. The higher the total score for items 5-10, 12, and 13 on the Autism Screening Checklist, the more likely thepresence of an autism spectrum disorder .See Clinical Presentation for more detail."
Diagnosis,"DiagnosisExamination for patients with suspected ASD may include the following findings:Abnormal motor movements (eg, clumsiness, awkward walk, hand flapping, tics)Dermatologic anomalies (eg, aberrant palmar creases)Abnormal head circumference (eg, small at birth, increased from age 6 months to 2 years,[4] normal inadolescence[5] )Orofacial, extremity, and head/trunk stereotypies (eg, purposeless, repetitive, patterned motions, postures, andsounds)Self-injurious behaviors (eg, picking at the skin, self-biting, head punching/slapping)Physical abuse inflicted by others (eg, parents, teachers)Sexual abuse: External examination of genitalia is appropriate; if bruises and other evidence of trauma are present,pelvic and rectal examinations may be indicatedDiagnostic criteriaASD is characterized in the Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition, Text Revision (DSM-5-TR)by the following:[6]Deficits in social communication and social interaction emedicine.medscape.com/article/912781-print Restricted repetitive behaviors, interests, and activities (RRBs)These symptoms are present from early childhood and limit or impair everyday functioning. Both components are requiredfor diagnosis of ASD.TestingThere are no blood studies recommended for the routine assessment of ASD. Although several metabolic abnormalitieshave been identified in investigations of people with ASD (eg, elevated serotonin, reduced serum biotinidase, abnormalneurotransmitter functions, impaired phenolic amines metabolism), a metabolic workup should be considered on anindividual basis. No biologic markers for autism currently exist.Studies that may be helpful in the evaluation of ASD include the following:EEG, sleep-deprived:[7] To exclude seizure disorder, acquired aphasia with convulsive disorder (Landau-Kleffnersyndrome), biotin-responsive infantile encephalopathy, related conditionsPsychophysiologic assessment: To show lack of response habituation to repeatedly presented stimuli (in respiratoryperiod, electrodermal activity, vasoconstrictive peripheral pulse amplitude response); auditory overselectivity may beseenPolysomnography: To identify sleep disorders and to demonstrate seizure dischargesNeuroimaging studiesThere is currently no clinical evidence to support the role of routine clinical neuroimaging in the diagnostic evaluation ofASD, even in the presence of megalencephaly.[3] Although characteristic abnormalities have been identified, no singlefinding is diagnostic.The following imaging techniques have yielded inconsistent results in evaluating ASD:MRI with or without diffusion tensor imagingCT scanningPET scanningSPECT scanningSee Workup for more detail."
Management,"ManagementThe established therapies for ASD are nonpharmacologic and may include individual intensive interventions. Individuals withASD  typically benefit from behaviorally oriented therapeutic programs developed specifically for this population. Childrenwith ASD should be placed in these specialized programs as soon as the diagnosis is suspected.Nonpharmacologic therapyIntensive individual special educationSpeech, behavioral, occupational, and physical therapies (eg, assisted communication, auditory integration training,sensory integration therapy, exercise/physical therapy)Social skills training is helpful for children with ASD, including those with comorbid anxiety disorders;[8] . While socialskills interventions appear modestly effective for young people with ASD, the effects may not readily generalize toeducational settings[9]Cognitive behavioral therapy[9]PharmacotherapyNo pharmacologic agent is effective in the treatment of the core behavioral manifestations of ASD, but drugs may beeffective in treating associated behavioral problems and comorbid disorders (eg, self-injurious behaviors, movementdisorders). The possible benefits from pharmacotherapy must be balanced against the likely adverse effects on a case-by-case basis (eg, venlafaxine may increase high-intensity aggression in some adolescents with ASD[10] )Medications used in managing related behavioral problems and comorbid conditions in children with ASD include thefollowing:Second-generation antipsychotics (eg, risperidone, aripiprazole, ziprasidone)SSRI antidepressants (eg, fluoxetine, citalopram, escitalopram) emedicine.medscape.com/article/912781-print Stimulants (eg, methylphenidate)Alpha-2 adrenergic receptor agonists (e.g., clonidine, guanfacine)[11]See Treatment and Medication for more detail."
Background,"BackgroundASD is a condition that manifests in early childhood and is characterized by qualitative abnormalities in social interactions,markedly aberrant communication skills, and restricted repetitive and stereotyped behaviors. A heterogeneous group ofdisorders includes the trait of ASD."
Motion anomalies,"Motion anomaliesMotion anomalies are a prominent feature in a subset of individuals and have been reported at birth in some persons withASD. Motion analysis may provide evidence of ASD in early infancy, before other manifestations occur.[12]The motion anomalies demonstrated by children with ASD are often highly characteristic and noticeable. An example of amotion typical in ASD occurs when the child places a hand with fingers separately outstretched before the eyes and rapidlymoves the hand back and forth. A similar experience results from moving up and down while gazing through the slats ofVenetian blinds. This action is described as self-stimulation because it produces a visual sensation of movement. (SeePresentation.)Many of the motions of children with ASD appear to be attempts to provide themselves with sensory input in a barrenenvironment. Through special education, children may learn to suppress the movements, although these may subsequentlybe exhibited at times of particular stress or excitement."
Causes,"Although the etiology of ASD is unknown hypotheses include genetic abnormalities obstetric complications exposure to toxic agents and prenatal perinatal and postnatal infections. Genetic studies have contributed to our understanding of the inheritance of ASD. A susceptibility to ASD is likely associated with 400 to 1000 genes.[17] A heritability plays a role in 74% to 93% of the risk for ASD.[18] Increasing risk for ASD is independently associated with maternal age of 40 years and older paternal age of 50 years and older and interpregnancy intervals less than 24 months. Maternal rubella is associated with significantly higher rates of ASD and other conditions in children. Additionally tuberous sclerosis is associated with ASD as a comorbid disorder.[21] On the other hand anecdotal reports that ASD may be linked with vaccinations (eg for measles and rubella) have not been supported by broader research.[22] Research from the CDC indicates that the number of childhood vaccines administered either in a single day or during a child's first 2 years has no effect on the risk of developing ASD. According to esults of a case-control study of more than 1000 children born between January 1994 and December 1999 exposure to antibody-stimulating proteins or polysaccharides from vaccines between the ages of 3 months and 2 years was not associated with an increased risk of developing an ASD. The study included 256 children with an ASD and 752 healthy controls.[23 24] Parents should be encouraged to fully immunize their children.[25] (See Etiology.) Effective treatment of associated behavioral problems includes intensive behavioral educational and psychological romponents. Interventions initiated at the time of diagnosis increase the likelihood of a favorable outcome.[26] Regular screening of infants and toddlers for symptoms and signs of autistic disorder is crucial because it allows for early referral of patients for further evaluation and treatment. (See Treatment.) The initial clinical descriptions of ASD suggested that cold rejecting parents ("refrigerator mothers") caused autism in offspring; however careful study of children with ASD and their parents has disproved this hypothesis. Autism is not caused by a lack of warmth and affection in parents nor by any other emotional or psychological parental deficits. Blaming parents for the development of ASD in their children is inappropriate."
Diagnosis,"DiagnosisExamination for patients with suspected ASD may include the following findings:Abnormal motor movements (eg, clumsiness, awkward walk, hand flapping, tics)Dermatologic anomalies (eg, aberrant palmar creases)Abnormal head circumference (eg, small at birth, increased from age 6 months to 2 years,[4] normal inadolescence[5] )Orofacial, extremity, and head/trunk stereotypies (eg, purposeless, repetitive, patterned motions, postures, andsounds)Self-injurious behaviors (eg, picking at the skin, self-biting, head punching/slapping)Physical abuse inflicted by others (eg, parents, teachers)Sexual abuse: External examination of genitalia is appropriate; if bruises and other evidence of trauma are present,pelvic and rectal examinations may be indicatedDiagnostic criteriaASD is characterized in the Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition, Text Revision (DSM-5-TR)by the following:[6]Deficits in social communication and social interaction emedicine.medscape.com/article/912781-print Restricted repetitive behaviors, interests, and activities (RRBs)These symptoms are present from early childhood and limit or impair everyday functioning. Both components are requiredfor diagnosis of ASD.TestingThere are no blood studies recommended for the routine assessment of ASD. Although several metabolic abnormalitieshave been identified in investigations of people with ASD (eg, elevated serotonin, reduced serum biotinidase, abnormalneurotransmitter functions, impaired phenolic amines metabolism), a metabolic workup should be considered on anindividual basis. No biologic markers for autism currently exist.Studies that may be helpful in the evaluation of ASD include the following:EEG, sleep-deprived:[7] To exclude seizure disorder, acquired aphasia with convulsive disorder (Landau-Kleffnersyndrome), biotin-responsive infantile encephalopathy, related conditionsPsychophysiologic assessment: To show lack of response habituation to repeatedly presented stimuli (in respiratoryperiod, electrodermal activity, vasoconstrictive peripheral pulse amplitude response); auditory overselectivity may beseenPolysomnography: To identify sleep disorders and to demonstrate seizure dischargesNeuroimaging studiesThere is currently no clinical evidence to support the role of routine clinical neuroimaging in the diagnostic evaluation ofASD, even in the presence of megalencephaly.[3] Although characteristic abnormalities have been identified, no singlefinding is diagnostic.The following imaging techniques have yielded inconsistent results in evaluating ASD:MRI with or without diffusion tensor imagingCT scanningPET scanningSPECT scanningSee Workup for more detail."
Treatment,"Individualized, intensive behavioral and psychological interventions must be instituted immediately after the diagnosisof ASD in order for the patient to achieve an optimal outcome. Although controversy surrounds the appropriate form ofspecial education, some evidence suggests that an individual educational program must be developed by a special educatorfamiliar with ASD and related conditions.Because deficits in language and communication are often major impediments to progress in educational, work, andpersonal settings, patients often benefit from specialized communication devices and training. Persons experienced in theneeds and treatment of individuals with serious communication handicaps (ie, speech and language specialists) may helpthe patient to maximize communication skills.Although psychoanalytic approaches to treatment of children with ASD were common in the mid-20th century, theseapproaches were not found to be effective and are no longer used. Pharmacotherapy is ineffective in treating the coredeficits of ASD but may be effective in treating associated behavioral problems and comorbid disorders. The possiblebenefits from pharmacotherapy must be balanced against the likely adverse effects on a case-by-case basis. "
Neural anomalies,"Neural anomaliesIn patients with autism, neuroanatomic and neuroimaging studies reveal abnormalities of cellular configurations in severalregions of the brain, including the frontal and temporal lobes and the cerebellum. Enlargements of the amygdala and thehippocampus are common in childhood. Markedly more neurons are present in select divisions of the prefrontal cortex ofautopsy specimens of some children with ASD, compared with those without ASD.[27]Magnetic resonance imaging (MRI) studies have suggested evidence for differences in neuroanatomy and connectivity inpeople with ASD compared with normal controls. Specifically, these studies have found reduced or atypical connectivity infrontal brain regions, as well as thinning of the corpus callosum in children and adults with ASD and related conditions.In a study that included 17 adults with high-functioning ASD and 17 age- and IQ-matched control subjects, functionalmagnetic resonance imaging (fMRI) of the brain that showed neural representations of social interactions was able toaccurately identify individuals with ASD. Scans were performed as study subjects thought about a set of social interactionverbs from both an action and a recipient perspective.[28, 29]Importantly, some of the regional differences in neuroanatomy correlate significantly with the severity of specific autisticsymptoms.[30, 31] For example, social and language deficits of people with ASD likely are related to dysfunction of thefrontal and temporal lobes.[32]In a study of postmortem brain tissue from 11 children with ASD and 11 unaffected controls, researchers found focaldisruption of cortical laminar architecture in the cortexes of 10 of the children with ASD and 1 of the controls, suggesting thatbrain irregularities in ASD may have prenatal origins. The patches of abnormal neurons were found in the frontal andtemporal lobes, regions involved in social, emotional, communication, and language functions. Since the changes were inthe form of patches, the researchers believe that early treatment could rewire the brain and improve ASD symptoms.[33, 34]On MRI scans, the brains of children with ASD demonstrate greater myelination in bilateral medial frontal cortices and lessmyelination in the left temporoparietal junction.[35] Similarly, region-specific differences in the concentrations of gray matter,made up of neuronal cell bodies, dendrites, unmyelinated axons and glial cells, are also found in the brains of people withautism.[36]"
