name,country,city,address,latitude,longitude,info,free_quote_link
Center for Advanced Medicine,Germany,Frankfurt,",lbeler Landstrasse, 45b,,60388,,",50.1418589,8.7545615,,
Kobinia Med,Austria,Vienna,",Wollzeile, 3,,,,",48.209387,16.374133,,
MexStemCells Clinic,Mexico,Mexico City,",Thiers, 42,,1590,,",19.430615,-99.175507,,
Immunotherapy Regenerative Medicine - Stem Cell Therapy In Mexico,Mexico,Puerto Vallarta,",,,, 48335,,",20.6666556,-105.2514573,,
Bioscience Clinic,UAE,Dubai,",Dubai Healthcare City,,,,,",25.2339713,55.317828,,
ALPHA MEDICA STEM CLINIC,Romania,Voinesti,",National Road, 72A,,,,",45.0697321,25.0761493,,
Unique Cell Treatment Clinic,Ukraine,Targoviste,",Solomyanska street,17,,,Kiev",50.432662,30.415274,,
ICAM Wellcare Clinic,India,Tumkur,",Promenade Road,4,Frazer Town,560005,,",12.9960428,77.6073087,,
"Grey Matters International, Inc.",United States,Tulsa,",S. Utica Avenue,1611,,74104,,",36.1328749,-95.9558713,,
Dr. Pravin Patel Innovative Hospital & Research Center,India,Vadodara,",,,,390007,,",22.312274,73.1586015,,
Holistic Care,Mexico,Tijuana,",Agua Caliente Blvd, 4558,, 22014,,",32.5328752,-117.0431964,,
"Stemedix, Inc",United States,Washington,",7th St S, 601,, 33701, Scottsdale",27.7634545,-82.6439637,,
Progencell - Stem Cell Therapies,Mexico,Tijuana,",Paseo del Centenario, 9580-2802,, 22010, B.C",32.530672,-117.026764,,
Institute of Cell Therapy,Ukraine,Kyiv,",Kudryashova, 9,,03035,,",50.4342749,30.4162768,,
Holistic International Comprehensive Care Philippines,Philippines,Quezon City,",Bernmann Centre, 5th Floor,,,,",14.6357526,121.0229207,,
Beijing Puhua International Hospital,China,Beijing,",Tiantan Nanli, 12,,,,",39.875166,116.404528,,
CBC Health Stroke Recovery Treatment,Germany,Munich,",Ottostraße, 3-5,, 80333,,",48.1414949,11.5677403,,
NP Istanbul Brain Hospital,Turkey,Istanbul,",Ahmet Tevfik İleri Cadde, 18,, 34768, Saray",41.0288759,29.114198,"92% patients recommend, Top clinic for Autism treatment, Top Patient’s Choice, 116 patients chose clinic for Autism Treatment",https://us-uk.bookimed.com/order/?clinicId=889&type=messenger-priority&button=listing-main-btn&illnessId=155
Emsey Hospital,Turkey,Istanbul,",Selçuklu Cadde, 22,, 34912, Çamlık",40.9236875,29.2888279,"75% patients recommend, 37 patients chose clinic for Autism Treatment",https://us-uk.bookimed.com/order/?clinicId=1173&type=messenger-priority&button=listing-main-btn&illnessId=155
Udensroze Clinic,Latvia,Jūrmala,",Dubultu prospekts, 30,,,,",56.967366,23.76708,66% patients recommend,https://us-uk.bookimed.com/order/?clinicId=213&type=messenger-priority&button=listing-main-btn&illnessId=155
Moodist Psychiatry and Neurology Hospital,Turkey,Istanbul,",Çeçen Sok, 52,, 34660, Acıbadem",41.0022045,29.0532809,92% patients recommend,https://us-uk.bookimed.com/order/?clinicId=4866&type=messenger-priority&button=listing-main-btn&illnessId=155
Medipol Bahçelievler Hospital,Turkey,Istanbul,",Fatih Cadde, 1,, 34196, Çobançeşme",40.9984247,28.8303657,92% patients recommend,https://us-uk.bookimed.com/order/?clinicId=4904&type=messenger-priority&button=listing-main-btn&illnessId=155
Reyap Hospital,Turkey,Istanbul,",2011 Sk, 25,, 34515, Yeşilkent",41.0259678,28.6594845,100% patients recommend,https://us-uk.bookimed.com/order/?clinicId=2736&type=messenger-priority&button=listing-main-btn&illnessId=155
Private Koru Ankara Hospital,Turkey,Ankara,",1450 Sk, 13,, 06510, Kızılırmak",39.90250522308492,32.812086115869164,92% patients recommend,https://us-uk.bookimed.com/order/?clinicId=3887&type=messenger-priority&button=listing-main-btn&illnessId=155
Adatip Hospital,Turkey,Istanbul,",Şht. Mehmet Karabaşoğlu Cadde, 67,, 54050, İstiklal",40.775965,30.3539208,92% patients recommend,https://us-uk.bookimed.com/order/?clinicId=4250&type=messenger-priority&button=listing-main-btn&illnessId=155
Derindere Hospital,Turkey,Istanbul,",Burcu Sokak, 9,, 34406, Merkez Mahallesi",41.0827243,28.9708384,92% patients recommend,https://us-uk.bookimed.com/order/?clinicId=1338&type=messenger-priority&button=listing-main-btn&illnessId=155
"Aster Hospitals, DUBAI",UAE,Dubai,",Al Mankhool Road, 127,,,,",25.2482049,55.2867159,"90% patients recommend, Top clinic for Autism treatment, Top Patient’s Choice, 2 patients chose clinic for Autism Treatment",https://us-uk.bookimed.com/order/?clinicId=1447&type=messenger-priority&button=listing-main-btn&illnessId=155
Private Optimed Hospital,Turkey,Istanbul,",Cadde, 2,, 59500, Gazi Mustafa Kemalpaşa",41.2976209,27.9964183,92% patients recommend,https://us-uk.bookimed.com/order/?clinicId=1028&type=messenger-priority&button=listing-main-btn&illnessId=155
MedConsult Bangkok Medical Clinic,Thailand,Bangkok,",Sukhumvit 49/9 Alley, 7,, 10110, Khwaeng Khlong Tan Nuea",13.736312921223,100.57663074551,92% patients recommend,https://us-uk.bookimed.com/order/?clinicId=1145&type=messenger-priority&button=listing-main-btn&illnessId=155
Vitality Medical & Research Center,Ukraine,Kyiv,",Kyivska Street, 115A,, Obukhiv",50.129579,30.655172,100% patients recommend,https://us-uk.bookimed.com/order/?clinicId=768&type=messenger-priority&button=listing-main-btn&illnessId=155
Etablissement Hospitalier Spécialisé (EHS) de Chéraga,Algeria,Alger,",ute de Zeralda,,,, Chéraga",36.766321,2.9505803,publics,
Centre National de Psychiatrie Infantile (CNPI) de Ben Aknoun,Algeria,Alger,",Chemin du Prince,,,, Ben Aknoun",36.716667,3.066667,publics,
Hôpital psychiatrique de Blida,Algeria,Blida,",Route de Soumaa,,,,,",36.483333,2.833333,publics,
EHS d'Oran,Algeria, Oran,",Usto Hai Essabah,,,,,",35.6991305,-0.5854874,publics,
Cabinet Psychologie Clinique Et Neuropsychologie ,Algeria,Oran,",,,,,, Bir El Djir",35.7233164,-0.5820272,private,
CMP de Constantine,Algeria,Constantine,",Cité Daksi,,,,,,",36.3558648,6.6264629,publics,
Arc Fayette Lamar,USA,Alabama," ,Temple Ave S,1428,Fayette,35555-3111,Fayette",32.318231,-86.902298,(205) 932-8642,
Arc of The Chattahoochee Valley,USA,Alabama,"416, , ,Valley,36854-0416,Chambers",32.318231,-86.902298,"valleyhaven@charterinternet.com, (334) 756-2868",
ARC- Baldwin County,USA,Alabama,"400, , ,Loxley,36651,Baldwin",32.318231,-86.902298,"jsp36@bellsouth.net, (251) 964-4451",
Athens/Limestone Arc,USA,Alabama," ,Rogers Street,427,Athens,35611,Limestone",32.318231,-86.902298,"twsaint@pcinet.net, (256) 233-2999",
Autism Society of Alabama,USA,Alabama," ,Dolly Ridge Road,4217,Birmingham,35243,Jefferson County",32.318231,-86.902298,877-428-8476,
AWE Arc Autauga and Western Elmore Counties,USA,Alabama,"681952, , ,Prattville,36068-1952,Autauga",32.318231,-86.902298,"smithcenteroffice@yahoo.com, (334) 365-4054",
Clarke County Arc,USA,Alabama,"100, , ,Jackson,36545-0100,Clarke",32.318231,-86.902298,"knelson@clarkearc.com, (251) 246-3000",
Marshall County Arc,USA,Alabama," ,Porter Harvey Dr,5104,Guntersville,35976-6749,Marshall",32.318231,-86.902298,"njkitchens@wildblue.net, (256) 582-5009",
Mobile Arc,USA,Alabama," ,Gordon Smith Dr,2424,Mobile,36617-2319,Mobile",32.318231,-86.902298,,
Montgomery Arc,USA,Alabama," ,Buckingham Dr,527,Montgomery,36116-2738,Montgomery",32.318231,-86.902298,"jmorris50@bellsouth.net, (334) 281-6938",
Randolph County Arc,USA,Alabama,"127, , ,Roanoke,36274-0127,Randolph",32.318231,-86.902298,"rclc@teleclipse.net, (334) 863-8991",
South Talladega Arc,USA,Alabama,"360, , ,Sylacauga,35150-0360,Talladega",32.318231,-86.902298,(256) 245-2323,
The Arc of Alabama,USA,Alabama," ,S. Lawrence St,557,Montgomery,36104-4611,Montgomery",32.318231,-86.902298,886-2439557,
The Arc of Calhoun-Cleburne Counties,USA,Alabama,"1848, , ,Anniston,36202-1848,Calhoun",32.318231,-86.902298,"dotlovelidge@cableone.net, (256) 236-2857",
The Arc of Cullman County,USA,Alabama," ,Beech Ave SE,1807,Cullman,35055-5462,Cullman",32.318231,-86.902298,"ccarc@bellsouth.com, (256) 737-1915",
The Arc of DeKalb County,USA,Alabama," ,Grand Avenue S,201,Fort Payne,35967,DeKalb",32.318231,-86.902298,(205) 845-0165,
The Arc of Eastern Elmore County,USA,Alabama,"847, , ,Wetumpka,36092-0015,Elmore",32.318231,-86.902298,(334) 514-0708,
The Arc of Franklin County,USA,Alabama,"1456, , ,Red Bay,35582-1456,Franklin",32.318231,-86.902298,(256) 356-8855,
The Arc of Geneva County,USA,Alabama," ,Columbus Holley Rd,3052,Samson,36477-5256,Geneva",32.318231,-86.902298,"donnallogan@yahoo.com, (334) 684-2252",
The Arc of Jackson County,USA,Alabama," ,Mack Morris Dr,180,Scottsboro,35769-7200,Jackson",32.318231,-86.902298,"thearc_sara@scottsboro.org, (256) 259-1603",
The Arc of Jefferson County,USA,Alabama," ,21st Ave S,215,Birmingham,35205-6801,Jefferson County",32.318231,-86.902298,(205) 323-6383,
The Arc of Lawrence County,USA,Alabama,"486, , ,Moulton,35650-0486,Lawrence",32.318231,-86.902298,"joycejeffreys@att.net, (256) 974-0496",
The Arc of Madison County,USA,Alabama," ,Washington St NW,1100,Huntsville,35801-4678,Madison",32.318231,-86.902298,(256) 539-2266,
The Arc of Morgan County,USA,Alabama," ,14th St SE Ste 4E,401,Decatur,35601-5941,Morgan",32.318231,-86.902298,"mechelle0008@bellsouth.net, (256) 355-6192",
The Arc of North Talladega County,USA,Alabama,"853, , ,Talladega,35161-0853,Talladega",32.318231,-86.902298,(256) 362-8064,
The Arc of Shelby County,USA,Alabama," ,Amphitheater Road,203,Pelham,35124,Shelby",32.318231,-86.902298,"info@thearcofshelby.org, (205) 664-9313",
The Arc of the Shoals,USA,Alabama," ,Parkwood Ct,354,Florence,35634-2845,Lauderdale",32.318231,-86.902298,"info@thearcoftheshoals.org, (256) 383-1472",
The Arc of Tuscaloosa County,USA,Alabama,"40246, , ,Tuscaloosa,35404-0246,Tuscaloosa",32.318231,-86.902298,"cmcduff@dbtech.net, (205) 556-4900",
The Arc of Walker County,USA,Alabama," ,Russell Dairy Rd,745,Jasper,35503-3551,Walker",32.318231,-86.902298,"lvick@walkerarc.com, (205) 387-0564",
The Arc St. Clair County,USA,Alabama," ,Chula Vista Dr,282,Pell City,35125-6293,St. Clair",32.318231,-86.902298,(205) 884-2680,
Winston Marion County Arc,USA,Alabama," ,County Highway 76,145,Haleyville,35565-3602,Winston",32.318231,-86.902298,"arc002@centurytel.net, (205) 486-2178",
Alaska Autism Resource Center,USA,Alaska," ,Denali Street,3501,Anchorage,99503,Anchorage",63.588753,-154.493062,866-301-7372,
The Arc of Anchorage,USA,Alaska," ,Arca Dr,2211,Anchorage,99508-3462,Anchorage",63.588753,-154.493062,"info@thearcofanchorage.org, (907) 777-0127",
Arizona Autism Resource,USA,Arizona," ,West Jefferson,1535,Phoenix,85007,Maricopa",34.048928,-111.093731,602-542-3084,
Chandler-Gilbert Arc,USA,Arizona," ,N San Marcos Pl,3250,Chandler,85225-7789,Maricopa",34.048928,-111.093731,"cgarc@cgarc.org, (480) 892-9422",
Douglas Arc,USA,Arizona,"252, , ,Douglas,85608-0252,Cochise",34.048928,-111.093731,"douglasarc@theriver.com, (520) 364-7473",
Gila County Arc,USA,Arizona,"1262, , ,Globe,85502-1262,Gila",34.048928,-111.093731,"dlc@cybertrails.com, (928) 425-6053",
Mohave County Arc,USA,Arizona," ,Airway Ave,2050,Kingman,86409-3643,Mohave",34.048928,-111.093731,"mohavecountyarc@yahoo.com, (928) 757-1758",
Northeastern Pinal County Arc,USA,Arizona,"535, , ,Kearny,85137-0110,Pinal",34.048928,-111.093731,(520) 363-5581,
S.E.E.K Arizona,USA,Arizona," ,S Alma School Road,1830,Mesa,85210,Maricopa",34.048928,-111.093731,480-902-0771,
Santa Cruz County Arc,USA,Arizona,"972, , ,Nogales,85628-0972,Santa Cruz",34.048928,-111.093731,"marina.galhouse@gmail.com, (520) 287-3756",
Southwest Autism Research & Resource Center,USA,Arizona," ,N. 18th Street,300,Phoenix,85006,Maricopa",34.048928,-111.093731,602-340-8717,
The Arc of Arizona,USA,Arizona," ,S Centeral Ave,5610,Phoenix,85040,Maricopa",34.048928,-111.093731,877-574-3033,
The Arc of Tempe,USA,Arizona,"26014, , ,Tempe,85285-6014,Maricopa",34.048928,-111.093731,"exec@tempearc.org, (480) 966-8536",
The Arc of Tucson,USA,Arizona,"44324, , ,Tucson,85733-4324,Pima",34.048928,-111.093731,(520) 570-1295,
The Arc of Yuma County,USA,Arizona,"6830, , ,Yuma,85366-2539,Yuma",34.048928,-111.093731,"rockellm@roadrunner.com, (928) 314-0154",
YES The Arc,USA,Arizona,"1061, , ,Cottonwood,86326-1061,Yavapai",34.048928,-111.093731,"yesthearc@yesthearc.com, (928) 634-2049",
Arkansas Autism Resources,USA,Arkansas," ,Pershing Circle,2001,North Little Rock,72114,Pulaski",35.20105,-91.831833,,
Sevier County Arc,USA,Arkansas," ,W Stillwell Ave,715,De Queen,71832-2707,Sevier",35.20105,-91.831833,(870) 642-6077,
The Arc for the River Valley,USA,Arkansas," ,S 56th St Ste 107,2301,Fort Smith,72903-3710,Sebastian",35.20105,-91.831833,"arcrivervalley@gmail.com, (479) 783-5529",
Alpha Resource Center of Santa Barbara,USA,California," ,Cathedral Oaks Rd,4501,Santa Barbara,93110-1340,Santa Barbara",36.778261,-119.417932,(805) 683-2145,
Arc – Imperial Valley,USA,California,"1828, , ,El Centro,92244-1828,Imperial",36.778261,-119.417932,"arcinfo@arciv.org, (760) 352-0180",
Arc – San Bernadino Area,USA,California," ,E 6th St,796,San Bernardino,92410-4532,San Bernadino",36.778261,-119.417932,"arcschoolofhope@verizon.net, (909) 884-6484",
Arc – South Bay,USA,California," ,W Rosecrans Ave,1735,Gardena,90249-3023,Los Angeles",36.778261,-119.417932,"arcsobay@arcsobay.org, (310) 532-6333",
Arc San Joaquin,USA,California," ,N San Joaquin St Ste 101,807,Stockton,95202-1701,San Joaquin",36.778261,-119.417932,"annar@arc-sj.org, (209) 955-1625",
BARC,USA,California," ,S Union Ave,2240,Bakersfield,93307-4158,Kern",36.778261,-119.417932,(661) 834-2272,
