name,city,country,address,latitude,longitude,info,free_quote_link
Center for Advanced Medicine,Frankfurt,Germany,",lbeler Landstrasse, 45b,,60388,,",50.1418589,8.7545615,,
Kobinia Med,Vienna,Austria,",Wollzeile, 3,,,,",48.209387,16.374133,,
MexStemCells Clinic,Mexico City,Mexico,",Thiers, 42,,1590,,",19.430615,-99.175507,,
Immunotherapy Regenerative Medicine - Stem Cell Therapy In Mexico,Puerto Vallarta,Mexico,",,,, 48335,,",20.6666556,-105.2514573,,
Bioscience Clinic,Dubai,UAE,",Dubai Healthcare City,,,,,",25.2339713,55.317828,,
ALPHA MEDICA STEM CLINIC,Voinesti,Romania,",National Road, 72A,,,,",45.0697321,25.0761493,,
Unique Cell Treatment Clinic,Targoviste,Ukraine,",Solomyanska street,17,,,Kiev",50.432662,30.415274,,
ICAM Wellcare Clinic,Tumkur,India,",Promenade Road,4,Frazer Town,560005,,",12.9960428,77.6073087,,
"Grey Matters International, Inc.",Tulsa,United States,",S. Utica Avenue,1611,,74104,,",36.1328749,-95.9558713,,
Dr. Pravin Patel Innovative Hospital & Research Center,Vadodara,India,",,,,390007,,",22.312274,73.1586015,,
Holistic Care,Tijuana,Mexico,",Agua Caliente Blvd, 4558,, 22014,,",32.5328752,-117.0431964,,
"Stemedix, Inc",Washington,United States,",7th St S, 601,, 33701, Scottsdale",27.7634545,-82.6439637,,
Progencell - Stem Cell Therapies,Tijuana,Mexico,",Paseo del Centenario, 9580-2802,, 22010, B.C",32.530672,-117.026764,,
Institute of Cell Therapy,Kyiv,Ukraine,",Kudryashova, 9,,03035,,",50.4342749,30.4162768,,
Holistic International Comprehensive Care Philippines,Quezon City,Philippines,",Bernmann Centre, 5th Floor,,,,",14.6357526,121.0229207,,
Beijing Puhua International Hospital,Beijing,China,",Tiantan Nanli, 12,,,,",39.875166,116.404528,,
CBC Health Stroke Recovery Treatment,Munich,Germany,",Ottostraße, 3-5,, 80333,,",48.1414949,11.5677403,,
