name,state,city,county,contact info
Alabama Autism,Alabama,N/A,N/A,By Website
Arc Fayette Lamar,Alabama,Fayette,Fayette,"Arc Fayette Lamar
1428 Temple Ave S
Fayette, AL 35555-3111
(205) 932-8642"
Arc of The Chattahoochee Valley,Alabama,Valley,Chambers,"Arc of The Chattahoochee Valley
PO Box 416
Valley, AL 36854-0416
valleyhaven@charterinternet.com
(334) 756-2868"
ARC- Baldwin County,Alabama,Loxley,Baldwin,"ARC- Baldwin County
PO Box 400
Loxley, AL 36651
jsp36@bellsouth.net
(251) 964-4451"
Athens/Limestone Arc,Alabama,Athens,Limestone,"Athens/Limestone Arc
427 Rogers Street
Athens, AL 35611
twsaint@pcinet.net
(256) 233-2999"
Autism Alabama,Alabama,N/A,N/A,By Website
Autism Society of Alabama,Alabama,Birmingham,Jefferson County,"Autism Society of Alabama
4217 Dolly Ridge Road
Birmingham, AL 35243
877-428-8476"
AWE Arc Autauga and Western Elmore Counties,Alabama,Prattville,Autauga,"AWE Arc Autauga and Western Elmore Counties
PO Box 681952
Prattville, AL 36068-1952
smithcenteroffice@yahoo.com
(334) 365-4054"
Clarke County Arc,Alabama,Jackson,Clarke,"Clarke County Arc
PO Box 100
Jackson, AL 36545-0100
knelson@clarkearc.com
(251) 246-3000"
Marshall County Arc,Alabama,Guntersville,Marshall,"Marshall County Arc
5104 Porter Harvey Dr
Guntersville, AL 35976-6749
njkitchens@wildblue.net
(256) 582-5009"
Mobile Arc,Alabama,Mobile,Mobile,"Mobile Arc
2424 Gordon Smith Dr
Mobile, AL 36617-2319"
Montgomery Arc,Alabama,Montgomery,Montgomery,"Montgomery Arc
527 Buckingham Dr
Montgomery, AL 36116-2738
jmorris50@bellsouth.net
(334) 281-6938"
Randolph County Arc,Alabama,Roanoke,Randolph,"Randolph County Arc
PO Box 127
Roanoke, AL 36274-0127
rclc@teleclipse.net
(334) 863-8991"
South Talladega Arc,Alabama,Sylacauga,Talladega,"South Talladega Arc
PO Box 360
Sylacauga, AL 35150-0360
(256) 245-2323"
The Arc of Alabama,Alabama,Montgomery,Montgomery,"The Arc of Alabama
557 S. Lawrence St
Montgomery, AL 36104-4611
886-2439557"
The Arc of Calhoun-Cleburne Counties,Alabama,Anniston,Calhoun,"The Arc of Calhoun-Cleburne Counties
PO Box 1848
Anniston, AL 36202-1848
dotlovelidge@cableone.net
(256) 236-2857"
The Arc of Cullman County,Alabama,Cullman,Cullman,"The Arc of Cullman County
1807 Beech Ave SE
Cullman, AL 35055-5462
ccarc@bellsouth.com
(256) 737-1915"
